DATE,TOTRA
1920-03-05,6168.603
1920-03-12,6159.531
1920-03-19,6155.905
1920-03-26,6047.771
1920-04-02,6140.593
1920-04-09,6067.872
1920-04-16,6235.422
1920-04-23,6108.325
1920-04-30,6050.467
1920-05-07,6026.229
1920-05-14,6186.071
1920-05-21,6086.161
1920-05-28,6114.34
1920-06-04,6195.509
1920-06-11,6139.969
1920-06-18,6152.977
1920-06-25,6074.713
1920-07-02,6198.457
1920-07-09,6178.377
1920-07-16,6208.017
1920-07-23,6075.124
1920-07-30,6032.769
1920-08-06,6083.97
1920-08-13,6176.836
1920-08-20,6181.22
1920-08-27,6178.771
1920-09-03,6267.091
1920-09-10,6353.233
1920-09-17,6513.661
1920-09-24,6312.275
1920-10-01,6327.717
1920-10-08,6389.361
1920-10-15,6610.25
1920-10-22,6374.908
1920-10-29,6341.607
1920-11-05,6413.436
1920-11-12,6356.591
1920-11-19,6326.8
1920-11-26,6244.489
1920-12-03,6303.879
1920-12-10,6233.038
1920-12-17,6387.263
1920-12-23,6318.035
1920-12-30,6269.517
1921-01-07,6186.408
1921-01-14,6000.713
1921-01-21,5946.979
1921-01-28,5861.338
1921-02-04,5847.053
1921-02-11,5822.491
1921-02-18,5856.021
1921-02-25,5861.101
1921-03-04,5840.601
1921-03-11,5845.709
1921-03-18,5836.269
1921-03-25,5753.167
1921-04-01,5672.436
1921-04-08,5607.795
1921-04-15,5652.524
1921-04-22,5580.128
1921-04-27,5504.48
1921-05-04,5516.702
1921-05-11,5495.951
1921-05-18,5490.48
1921-05-25,5379.76
1921-06-01,5434.689
1921-06-08,5407.386
1921-06-15,5707.179
1921-06-22,5315.828
1921-06-29,5242.041
1921-07-06,5331.536
1921-07-13,5288.36
1921-07-20,5216.679
1921-07-27,5150.21
1921-08-03,5153.334
1921-08-10,5088.736
1921-08-17,5130.37
1921-08-24,5053.174
1921-08-31,5055.823
1921-09-07,5148.122
1921-09-14,5240.585
1921-09-21,5161.661
1921-09-28,5107.126
1921-10-05,5157.349
1921-10-11,5180.332
1921-10-19,5186.957
1921-10-26,5094.915
1921-11-02,5111.523
1921-11-09,5101.868
1921-11-16,5197.83
1921-11-23,5058.092
1921-11-30,5044.396
1921-12-07,5017.377
1921-12-14,5176.436
1921-12-21,5211.184
1921-12-28,5151.306
1922-01-04,5176.417
1922-01-11,4939.322
1922-01-18,4898.09
1922-01-25,4780.53
1922-02-01,4851.922
1922-02-08,4832.779
1922-02-15,4939.545
1922-02-21,4788.987
1922-03-01,4864.172
1922-03-08,4818.848
1922-03-15,5048.022
1922-03-22,4833.827
1922-03-29,4815.851
1922-04-05,4866.144
1922-04-12,4902.286
1922-04-19,4952.92
1922-04-26,4860.072
1922-05-03,4928.667
1922-05-10,4894.814
1922-05-17,4947.73
1922-05-24,4894.359
1922-05-31,4847.268
1922-06-07,4903.468
1922-06-14,4998.027
1922-06-21,4891.808
1922-06-28,4904.848
1922-07-05,4918.443
1922-07-12,4978.772
1922-07-19,4962.062
1922-07-26,4863.134
1922-08-02,4859.131
1922-08-09,4811.18
1922-08-16,4879.086
1922-08-23,4831.426
1922-08-30,4848.624
1922-09-06,4930.953
1922-09-13,5014.847
1922-09-20,5005.676
1922-09-27,4970.261
1922-10-04,5060.694
1922-10-11,5168.87
1922-10-18,5291.114
1922-10-25,5065.095
1922-11-01,5142.169
1922-11-08,5105.459
1922-11-15,5329.587
1922-11-22,5129.163
1922-11-29,5080.905
1922-12-06,5181.253
1922-12-13,5188.643
1922-12-20,5279.299
1922-12-27,5305.411
1923-01-03,5429.709
1923-01-10,5193.255
1923-01-17,5138.467
1923-01-24,5067.487
1923-01-31,5013.54
1923-02-07,4981.635
1923-02-14,5218.134
1923-02-21,5106.755
1923-02-28,5087.084
1923-03-07,5091.002
1923-03-14,5202.46
1923-03-21,5131.344
1923-03-28,5067.93
1923-04-04,5118.0
1923-04-11,5087.348
1923-04-18,5191.814
1923-04-25,5041.067
1923-05-02,5131.603
1923-05-09,5061.961
1923-05-16,5214.71
1923-05-23,5115.559
1923-05-29,5073.381
1923-06-06,5111.704
1923-06-13,5140.736
1923-06-20,5092.813
1923-06-27,5037.502
1923-07-03,5164.461
1923-07-11,5113.915
1923-07-18,5092.961
1923-07-25,4952.762
1923-08-01,4988.141
1923-08-08,4951.537
1923-08-15,5076.723
1923-08-22,4974.18
1923-08-29,4967.229
1923-09-05,5030.185
1923-09-12,5124.136
1923-09-19,5138.435
1923-09-26,5078.259
1923-10-03,5142.233
1923-10-10,5121.457
1923-10-17,5321.941
1923-10-24,5120.342
1923-10-31,5091.267
1923-11-07,5078.023
1923-11-14,5290.472
